Ordem,NIF ,Nome ,E-mail,URL 
1,500336792,"MDS AUTO - MEDIAÇÃO DE SEGUROS, S.A.",mdsauto@mds.pt,
2,501278699,"MELIOR SEGUROS - CONSULTORES E CORRETORES DE SEGUROS, S.A.",geral@melior-seguros.pt,www.melior-seguros.pt
3,504764578,"IN SURE BROKER - MEDIAÇÃO DE SEGUROS, LDA",mail@insurebroker.pt,www.insurebroker.pt
4,500081786,"ACRISURE PORTUGAL - CORRETOR DE SEGUROS, UNIPESSOAL, LDA",universalis@universalis.com.pt,www.universalis.com.pt
5,503060755,"ACP - MEDIAÇÃO DE SEGUROS, S.A.",acpseguros@acp.pt,www.acp.pt
6,503292001,"AON REINSURANCE, S.A.",andrea.bertoldi@aonbenfield.com,www.aon.com
7,501732365,"RCI GEST SEGUROS - MEDIADORES DE SEGUROS, UNIPESSOAL, LDA",rci.fiscal@rcibanque.com,
8,500150141,"JOÃO MATA, LDA",seguros@joaomata.pt,www.joaomata.pt
9,516849190,"MEDSPRING, S.A.",geral@medempresa.pt,www.medempresa.pt
10,980688868,"BLEVINS FRANKS WEALTH MANAGEMENT, LIMITED - SUCURSAL EM PORTUGAL",dpo@blevinsfranks.com,www.blevinsfranks.com
11,503550035,"MEDAL - GESTÃO E MEDIAÇÃO DE SEGUROS, LDA",info@medal.pt,www.medal.pt
12,509212930,"MYSEGUROS - MEDIAÇÃO DE SEGUROS, S.A.",info@myseguros.pt,www.myseguros.pt
13,501241264,"GASPAR & COSTA, LDA",pombal@gasparecosta.pt,www.gasparcosta.pt
14,501315420,"EMPREMÉDIA - CORRETORES DE SEGUROS, S.A.",geral@empremedia.pt,www.empremedia.pt
15,502274085,"DIAGONAL - CORRETORES DE SEGUROS, S.A.",geral@diagonalseguros.pt,www.diagonalseguros.pt
16,980405190,"ABANCA MEDIACIÓN, OPERADOR DE BANCA - SEGUROS VINCULADO, S.L. - SUCURSAL EM PORTUGAL",abancaportugal@abanca.com,www.abanca.pt
17,506233898,"SEMPER - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",geral@semper.pt,www.semper.pt
18,516528777,"H&W - MEDIADORA DE SEGUROS, S.A.",,
19,501268278,"PONTO SEGURO - MEDIAÇÃO DE SEGUROS, S.A.",lisboa@pontoseguro.pt,www.pontoseguro.pt
20,516039423,"MOTA-ENGIL MEDIAÇÃO DE SEGUROS, S.A.",geral@mota-engil.pt,
21,510351808,"MDS RE - MEDIADOR DE RESSEGUROS, S.A.",mds@mdsgroup.com,www.mdsgroup.com
22,509844235,"HISPANIA GLOBAL UNDERWRITING, S.A.",geral@hispaniarb.com,hispaniarb.com
23,509532560,"UCI MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",uci@uci.pt,www.uci.pt
24,980747716,"SAFEBROK CONSULTING CORREDURÍA DE SEGUROS, S.L. - SUCURSAL EM PORTUGAL",help@safebrok.com,www.safebrok.com
25,510670300,"SEG UP - CORRETORES DE SEGUROS, S.A.",geral@segup.pt,www.segup.pt
26,501108530,"MEDIBROKER - CORRETOR E CONSULTOR DE SEGUROS, S.A.",geral@medibroker.pt,www.medibroker.pt
27,509807895,"AQS CONSULTORES DE SEGUROS, LDA",aqs-seguros@aqs-seguros.pt,www.aqs-seguros.pt
28,512068674,"CERTEZZA - SOCIEDADE MEDIADORA DE SEGUROS, UNIPESSOAL LDA",jose.goncalves@certezza.pt,www.certezza.pt
29,502496355,"S.G.S. - SOCIEDADE MEDIADORA DE SEGUROS, LDA",info@sgs-seguros.pt,www.sgs-seguros.pt
30,502059176,"ADVISER PLATFORM, LDA",,www.adviserplatform.com
31,501526153,"S IN - MEDIAÇÃO DE SEGUROS, LDA",geral@iberosegur.com,
32,516481592,"GOOSEBROKERS MEDIAÇÃO DE SEGUROS, LDA",geral@goosebrokers.com,
33,502011939,"ATLAS MGA, LDA",,www.atlasmga.com
34,502758929,"SCAL - MEDIAÇÃO DE SEGUROS, S.A.",scal@scal.com.pt,www.scal.pt
35,513901191,"KONECTANET II - MEDIADORA DE SEGUROS, LDA",,
36,503696480,"EXS - MEDIAÇÃO DE SEGUROS, LDA",seguros@exs.pt,www.exs.pt
37,502406798,"AMPLITUDE SEGUROS - CORRETORES DE SEGUROS, S.A.",amplitude@amplitudeseguros.com,www.amplitudeseguros.com
38,502271639,"SECOSE - CORRETORES DE SEGUROS E RESSEGUROS, S.A.",secose@secose.pt,www.secose.pt
39,506070816,"SEGURTIME - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",geral@segurtime.com,www.segurtime.com
40,505063310,"SEGURAJUDA - CORRETORES DE SEGUROS, LDA",geral@segurajuda.pt,www.segurajuda.com
41,509923500,"ALLSEG - MEDIAÇÃO DE SEGUROS, LDA",,www.l7seguros.pt
42,515207616,"IBEX PORTUGAL - CORRETORA DE SEGUROS, UNIPESSOAL, LDA",ibex@ibexinsure.com,www.ibexinsure.com
43,506057852,"QUERCIA III - MEDIAÇÃO DE SEGUROS, LDA",quercia@quercia.pt,www.quercia.pt
44,511144768,"BÓNUS - MEDIAÇÃO DE SEGUROS, LDA",geral@bonus-seguros.pt,www.bonus-seguros.pt
45,501175695,"PAIXÃO - CORRETORES DE SEGUROS, LDA",carlos.paixao@paixaoseguros.com,www.paixaoseguros.com
46,504508881,"CORBROKER NORTE - MEDIADORES DE SEGUROS, LDA",seguros.norte@corbroker.pt,www.corbroker.pt
47,500031894,"ASAL - AGÊNCIA DE SEGUROS E ASSISTÊNCIA, S.A.",geral@asal.pt,www.asal.pt
48,514647850,"DOUTOR FINANÇAS PROTEGE - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",,www.doutorfinancas.pt
49,500020523,"AMORIM, BRITO & SARDINHA, LDA",,
50,502451238,"CREDIMÉDIA - CORRETORES DE SEGUROS, LDA",credimedia@credimedia.pt,www.credimedia.pt
51,980510171,ARMATIS FINANCIAL SERVICES - SUCURSAL EM PORTUGAL,,www.armatis.com
52,507836774,"GUARDIAN - SOCIEDADE DE MEDIAÇÃO DE SEGUROS, LDA",geral@guardian-seguros.pt,www.guardian-seguros.pt
53,513098232,"I.B.K.- MEDIAÇÃO DE SEGUROS, LDA",geral@ibkseguros.pt,www.interbroker.pt
54,509913814,"NB SEGUROS - MEDIAÇÃO DE SEGUROS, LDA",,
55,503921017,"CALÇÃO - CORRETORES DE SEGUROS, S.A.",geral@calcaoseguros.pt,www.calcaoseguros.pt
56,511039379,"CBK MADEIRA - CORRETORES DE SEGUROS, LDA",seguros@cbkmadeira.pt,www.villasboas.pt
57,503836800,"RITUAL SEGUROS - SOCIEDADE MEDIADORA DE SEGUROS, LDA",ritual@agentegeral.ageas.pt,
58,510888950,"R2 - MEDIAÇÃO DE SEGUROS, LDA",geral@r2seguros.pt,www.r2seguros.pt
59,513008390,"CITYLAR, UNIPESSOAL, LDA",imobiliaria@citylar.pt,www.citylar.pt
60,502102780,"VILLAS-BOAS - ACP, ARCHER E CAMACHO - CORRETORES DE SEGUROS, S.A.",info@villasboas.pt,www.villasboasacp.pt
61,505546434,"FILIPE CASTRO - MEDIAÇÃO DE SEGUROS, LDA",geral@filipecastro.com,www.filipecastro.com
62,514305592,"NUNO PINTASSILGO, UNIPESSOAL, LDA",,
63,505480069,"CELESTINO JOAQUIM - MEDIAÇÃO DE SEGUROS, LDA",cjlcolmeias@gmail.com,
64,513595732,"ALFASEG - GESTÃO DE SEGUROS, LDA",,www.alfaseguros.pt
65,513940014,"PERÍMETRO SEGURO - MEDIAÇÃO DE SEGUROS, LDA",geral@perimetroseguro.pt,www.perimetroseguro.pt
66,506045560,"CARLOS MARQUES - MEDIAÇÃO DE SEGUROS, LDA",seguros@carlosmarques.pt,www.carlosmarques.pt
67,503355623,"NASCENTE CORRETORES DE SEGUROS, LDA",nascente@nascenteseguros.pt,www.nascenteseguros.pt
68,508639603,"FDN - MEDIAÇÃO DE SEGUROS, LDA",seguros@fdn.pt,www.fdn.pt
69,516529625,"SALVADOR CAETANO SEGUROS - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",apferraz@caetanoauto.pt,
70,510151531,"IBERIMED, LDA",,
71,510445535,"MEDIORISCO - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",mediorisco@gmail.com,
72,510969542,"UNIPEOPLE - MEDIAÇÃO DE SEGUROS, UNIPESSOAL, LDA",geral@nobisseguros.com,
73,508776112,"STARTMED, LDA",geral@startmed.pt,www.startmed.pt
74,516154648,"DEVERE & PARTNERS PORTUGAL, S.A.",angela.pereira@devere-group.com,www.devere-portugal.pt
75,505100436,"PUBLISEGUR - CORRETORES DE SEGUROS, S.A.",publisegur@publisegur.pt,www.publisegur.pt
